epoch,step,train_loss,val_loss
0,37,,0.015108332969248295
1,49,0.0008516665548086166,
1,75,,0.007541061844676733
2,99,0.000289085233816877,
2,113,,0.004358171485364437
3,149,0.0003129150136373937,
3,151,,0.003728288458660245
4,189,,0.0030040463898330927
5,199,0.00025775254471227527,
5,227,,0.0028926075901836157
6,249,0.00023360733757726848,
6,265,,0.00237860856577754
7,299,0.00014695303980261087,
7,303,,0.0022508716210722923
8,341,,0.0022803936153650284
9,349,0.0003166424576193094,
9,379,,0.0021371617913246155
10,399,0.00012971019896212965,
10,417,,0.002073912415653467
11,449,0.00018121938046533614,
11,455,,0.002497563837096095
12,493,,0.001500324928201735
13,499,0.0001147207512985915,
13,531,,0.0013720381539314985
14,549,0.00029729638481512666,
14,569,,0.0019970922730863094
15,599,0.00013988670252729207,
15,607,,0.001318443799391389
16,645,,0.0014642897294834256
17,649,0.00016034672444220632,
17,683,,0.0011513978242874146
18,699,0.00019885423535015434,
18,721,,0.001132406760007143
19,749,0.00014804929378442466,
19,759,,0.002384604886174202
